"","portal","processo","edital","cdo","orgao","id","link_repositorio_edital","tipo","orgao_sigla","descricao_do_objeto","entrega_de_proposta","abertura","situacao","data_abertura","data_entrega_proposta","base_final","final_url_edital","link_completo_para_editais"
"11","2","","0001/2022","4130","PSFS Porto de São Francisco do Sul S/A","00012022_4130","https://sistemas4.sc.gov.br/sea/portaldecompras/docsl.asp?portal=2&processo=&cdo=4130&edital=0001/2022","Pregão Eletrônico(Compras)","PSFS","CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA O FORNECIMENTO DE DISPOSITIVO DE FIXAÇÕES UTILIZADAS NAS EMENDAS DE CORREIAS TRANSPORTADORAS DOS ELEVADORES DE GRÃOS RESPONSÁVEIS PELA MOVIMENTAÇÃO DE RECEBIMENTO E EXPEDIÇÃO DE GRÃOS DOS ARMAZÉNS DO TERMINAL GRANELEIRO DA SCPAR PSFS.","24/01/2022 08:00:00","24/01/2022 10:00:00","FRACASSADO","24/01/2022","24/01/2022",NA,"docsb.asp?orgao=PSFS&anexo=EDITAL00012022.pdf","https://sistemas4.sc.gov.br/sea/portaldecompras/docsb.asp?orgao=PSFS&anexo=EDITAL00012022.pdf"
"12","1","26682","0001/2022","5201","Secretaria de Estado da Fazenda - SEF","00012022_5201","https://sistemas4.sc.gov.br/sea/portaldecompras/docsl.asp?portal=1&processo=26682&cdo=5201&edital=0001/2022","Pregão Eletrônico             (Compras)","SEF","Selecionar proposta objetivando o Registro de Preços para futura e eventual aquisição de  lâmpadas, tipo Led,   para atender a Secretaria de Estado da Fazenda.","25/01/2022 14:00:00","23/02/2022 13:30:00","EM SESSÃO PREGÃO","23/02/2022","25/01/2022",NA,"docsb.asp?orgao=SEF&anexo=26682-02-1.pdf","https://sistemas4.sc.gov.br/sea/portaldecompras/docsb.asp?orgao=SEF&anexo=26682-02-1.pdf"
"13","1","26679","0001/2022","4891","Secretaria de Estado da Saúde - SES","00012022_4891","https://sistemas4.sc.gov.br/sea/portaldecompras/docsl.asp?portal=1&processo=26679&cdo=4891&edital=0001/2022","Pregão Eletrônico             (Compras)","SES","Aquisição de lancetas para triagem neonatal (teste do pezinho) para a Diretoria de Atenção Primária à Saúde (DAPS).","02/02/2022 17:30:00","18/03/2022 08:30:00","EM SESSÃO PREGÃO","18/03/2022","02/02/2022",NA,"docsb.asp?orgao=SES&anexo=26679-02-1.doc","https://sistemas4.sc.gov.br/sea/portaldecompras/docsb.asp?orgao=SES&anexo=26679-02-1.doc"
"14","1","26559","0001/2022","5301","Secretaria de Estado da Infraestrutura e Mobilidade - SIE","00012022_5301","https://sistemas4.sc.gov.br/sea/portaldecompras/docsl.asp?portal=1&processo=26559&cdo=5301&edital=0001/2022","Pregão Eletrônico             (Serviços)","SIE","RDC - REGIME DIFERENCIADO DE CONTRATAÇÃO - Execução  dos  serviços  de  sinalização horizontal e vertical na malha rodoviária sob jurisdição da Coordenadoria Regional Extremo Oeste - SIE/CREXT, em regime de empreitada por preço unitário, nas condições previstas no Edital e seus anexos, conforme especificações constantes dos Anexos I a XVI.","04/03/2022 14:15:00","13/01/2022 08:00:00","EM SESSÃO PREGÃO","13/01/2022","04/03/2022",NA,"docsb.asp?orgao=SIE&anexo=26559-02-1.pdf","https://sistemas4.sc.gov.br/sea/portaldecompras/docsb.asp?orgao=SIE&anexo=26559-02-1.pdf"
"15","1","26996","0002/2022","301","Centro de Informática e Automação de Santa Catarina - CIASC","00022022_301","https://sistemas4.sc.gov.br/sea/portaldecompras/docsl.asp?portal=1&processo=26996&cdo=301&edital=0002/2022","Pregão Eletrônico","CIASC","a presente licitação tem como objeto a seleção da proposta mais vantajosa para a subscrição de ferramentas jira software cloud premium, jira service management cloud premium, e consultoria para a migração da instalação atual de jira server para a nova plataforma, conforme especificações técnicas constantes no anexo i, demais anexos e condições prev...","10/03/2022 08:00:00","01/04/2022 14:00:00","EM RECEBIMENTO DE PROPOSTA E-LIC","01/04/2022","10/03/2022",NA,"docsb.asp?orgao=CIASC&anexo=26996-02-1.pdf","https://sistemas4.sc.gov.br/sea/portaldecompras/docsb.asp?orgao=CIASC&anexo=26996-02-1.pdf"
"16","2","","0002/2022","4422","Companhia Integrada de Desenv. Agricola de Santa Catarina - CIDASC","00022022_4422","https://sistemas4.sc.gov.br/sea/portaldecompras/docsl.asp?portal=2&processo=&cdo=4422&edital=0002/2022","Pregão Eletrônico(Serviços)","CIDASC","Contratação de serviços de coleta de água e moluscos.","03/03/2022 14:59:00","03/03/2022 15:00:00","HOMOLOGADO","03/03/2022","03/03/2022",NA,"docsb.asp?orgao=CIDASC&anexo=Edital00222.pdf","https://sistemas4.sc.gov.br/sea/portaldecompras/docsb.asp?orgao=CIDASC&anexo=Edital00222.pdf"
"17","1","27011","0002/2022","1501","Defensoria Pública do Estado de Santa Catarina - DPE","00022022_1501","https://sistemas4.sc.gov.br/sea/portaldecompras/docsl.asp?portal=1&processo=27011&cdo=1501&edital=0002/2022","Pregão Eletrônico             (Serviços)","DPE","Contratação de empresa para serviço de desenvolvimento e fornecimento de website da Defensoria Pública do Estado de Santa Catarina, hospedagem, manutenção e suporte.","12/03/2022 09:00:00","24/03/2022 09:20:00","EM SESSÃO PREGÃO","24/03/2022","12/03/2022",NA,"docsb.asp?orgao=DPE&anexo=27011-02-1.pdf","https://sistemas4.sc.gov.br/sea/portaldecompras/docsb.asp?orgao=DPE&anexo=27011-02-1.pdf"
"18","2","","0002/2022","9","Empresa de Pesquisa Agropecuária e Extensão Rural de Santa Catarina - EPAGRI","00022022_9","https://sistemas4.sc.gov.br/sea/portaldecompras/docsl.asp?portal=2&processo=&cdo=9&edital=0002/2022","Pregão Eletrônico(Compras)","EPAGRI","Aquisição de switches de 10G e acessórios para a Epagri SEDE, conforme quantitativos e especificações constantes nos ANEXOS I e II deste Edital.ID LICITACOES-E 92.74.35 - NOVA DATA DE ABERTURA/DISPUTA","30/03/2022 09:00:00","31/03/2022 14:00:00","AGUARDANDO ABERTURA DA SESSÃO","31/03/2022","30/03/2022",NA,"docsb.asp?orgao=EPAGRI&anexo=0002_2022PE(1).doc","https://sistemas4.sc.gov.br/sea/portaldecompras/docsb.asp?orgao=EPAGRI&anexo=0002_2022PE(1).doc"
"19","1","26904","0002/2022","4521","Fundação Catarinense de Educação Especial - FCEE","00022022_4521","https://sistemas4.sc.gov.br/sea/portaldecompras/docsl.asp?portal=1&processo=26904&cdo=4521&edital=0002/2022","Pregão Eletrônico             (Compras)","FCEE","AQUISIÇÃO DE TOLDOS PARA OS CENTROS DE ATENDIMENTO CENER E CENAE DA FCEE, COM INSTALAÇÃO INCLUSA.","22/02/2022 13:30:00","10/03/2022 13:45:00","PUBLICADO RESULTADO LICITAÇÃO / EXTRATO ATA RP","10/03/2022","22/02/2022",NA,"docsb.asp?orgao=FCEE&anexo=26904-02-1.pdf","https://sistemas4.sc.gov.br/sea/portaldecompras/docsb.asp?orgao=FCEE&anexo=26904-02-1.pdf"
"20","1","26770","0002/2022","1605","Polícia Civil - PC","00022022_1605","https://sistemas4.sc.gov.br/sea/portaldecompras/docsl.asp?portal=1&processo=26770&cdo=1605&edital=0002/2022","Pregão Eletrônico             (Serviços)","PC","Contratação de empresa especializada na prestação de serviços de locação de caçamba estacionária, capacidade de 5 m3, mediante requisição, para coleta, transporte e destinação final de resíduos sólidos, visando atender às necessidades do Complexo Administrativo da Polícia Civil  CAD, durante o ano de 2022.","05/02/2022 14:00:00","17/02/2022 14:00:00","PUBLICADO RESULTADO LICITAÇÃO / EXTRATO ATA RP","17/02/2022","05/02/2022",NA,"docsb.asp?orgao=PC&anexo=26770-02-1.pdf","https://sistemas4.sc.gov.br/sea/portaldecompras/docsb.asp?orgao=PC&anexo=26770-02-1.pdf"
"21","1","26838","0002/2022","1606","Polícia Militar do Estado de Santa Catarina - PM/SC","00022022_1606","https://sistemas4.sc.gov.br/sea/portaldecompras/docsl.asp?portal=1&processo=26838&cdo=1606&edital=0002/2022","Pregão Eletrônico             (Compras)","PMSC","Aquisição de veículo 100% elétrico e estações de carregamento veicular para a Polícia Militar Ambiental de Santa Catarina.","12/02/2022 08:00:00","15/03/2022 13:30:40","PUBLICADO RESULTADO LICITAÇÃO / EXTRATO ATA RP","15/03/2022","12/02/2022",NA,"docsb.asp?orgao=PMSC&anexo=26838-02-1.pdf","https://sistemas4.sc.gov.br/sea/portaldecompras/docsb.asp?orgao=PMSC&anexo=26838-02-1.pdf"
"22","2","","0002/2022","4130","PSFS Porto de São Francisco do Sul S/A","00022022_4130","https://sistemas4.sc.gov.br/sea/portaldecompras/docsl.asp?portal=2&processo=&cdo=4130&edital=0002/2022","Pregão Eletrônico(Serviços)","PSFS","contratação de empresa ou consórcio de empresas especializadas para execução dos serviços técnicos de elaboração de estudos de viabilidade técnica ,econômica, e ambiental  evtea, com assessoramento e acompanhamento de todas as fases do procedimento licitatório referente à área localizada na poligonal do porto de são francisco do sul, para subsidia...","21/01/2022 08:00:00","21/01/2022 10:00:00","EM SESSÃO","21/01/2022","21/01/2022",NA,"docsb.asp?orgao=PSFS&anexo=EDITAL0002_2022.pdf","https://sistemas4.sc.gov.br/sea/portaldecompras/docsb.asp?orgao=PSFS&anexo=EDITAL0002_2022.pdf"
"23","1","26603","0002/2022","1700","Secretaria de Estado da Administração - SEA","00022022_1700","https://sistemas4.sc.gov.br/sea/portaldecompras/docsl.asp?portal=1&processo=26603&cdo=1700&edital=0002/2022","Pregão Eletrônico             (Compras)","SEA-DGLC","Aquisição de veículos, para atender à Secretaria de  Estado da Educação","19/01/2022 14:00:00","31/01/2022 13:30:00","PUBLICADO RESULTADO LICITAÇÃO / EXTRATO ATA RP","31/01/2022","19/01/2022",NA,"docsb.asp?orgao=SEA-DGLC&anexo=26603-02-1.pdf","https://sistemas4.sc.gov.br/sea/portaldecompras/docsb.asp?orgao=SEA-DGLC&anexo=26603-02-1.pdf"
"24","2","","0002/2022","4501","Secretaria de Estado da Educação - SED","00022022_4501","https://sistemas4.sc.gov.br/sea/portaldecompras/docsl.asp?portal=2&processo=&cdo=4501&edital=0002/2022","Concorrência(Obras)","SED","Contratação de Empresa Especializada  em Serviços de Engenharia para Reforma e Ampliação da CEDUP - ABÍLIO PAULO, localizada em Criciúma/SC.","24/02/2022 13:30:00","24/02/2022 14:00:00","AGUARDANDO ABERTURA DA HABILITAÇÃO","24/02/2022","24/02/2022",NA,"docsb.asp?orgao=SED&anexo=CC002.2022.doc","https://sistemas4.sc.gov.br/sea/portaldecompras/docsb.asp?orgao=SED&anexo=CC002.2022.doc"
"25","1","26669","0002/2022","4891","Secretaria de Estado da Saúde - SES","00022022_4891","https://sistemas4.sc.gov.br/sea/portaldecompras/docsl.asp?portal=1&processo=26669&cdo=4891&edital=0002/2022","Pregão Eletrônico","SES","Contratação de serviços para substituição de divisórias para o Centro Catarinense de Reabilitação (CCR).","01/02/2022 17:30:00","16/03/2022 13:30:00","EM SESSÃO PREGÃO","16/03/2022","01/02/2022",NA,"docsb.asp?orgao=SES&anexo=26669-02-1.doc","https://sistemas4.sc.gov.br/sea/portaldecompras/docsb.asp?orgao=SES&anexo=26669-02-1.doc"
"26","1","26533","0002/2022","5301","Secretaria de Estado da Infraestrutura e Mobilidade - SIE","00022022_5301","https://sistemas4.sc.gov.br/sea/portaldecompras/docsl.asp?portal=1&processo=26533&cdo=5301&edital=0002/2022","Pregão Eletrônico             (Serviços)","SIE","RDC - REGIME DIFERENCIADO DE CONTRATAÇÃO - Execução de serviços de recuperação da ponte sobre o Rio Patrocínio, com 9,60 m de extensão, localizada no km 247+625 da rodovia SC-120, trecho, Lebon Régis -Curitibanos, em regime de empreitada por preço unitário, nas condições previstas no Edital e especificações constantes dos Anexos I a XV.","12/01/2022 08:00:00","09/02/2022 17:00:00","HOMOLOGADO","09/02/2022","12/01/2022",NA,"docsb.asp?orgao=SIE&anexo=26533-02-1.pdf","https://sistemas4.sc.gov.br/sea/portaldecompras/docsb.asp?orgao=SIE&anexo=26533-02-1.pdf"
"27","1","26991","0003/2022","301","Centro de Informática e Automação de Santa Catarina - CIASC","00032022_301","https://sistemas4.sc.gov.br/sea/portaldecompras/docsl.asp?portal=1&processo=26991&cdo=301&edital=0003/2022","Pregão Eletrônico","CIASC","A presente licitação tem como objeto a seleção da proposta mais vantajosa para a aquisição de solução de proteção de dados e armazenamento, conforme condições e especificações estabelecidas no Termo de Referência, demais anexos e condições previstas neste Edital.","09/03/2022 08:00:00","30/03/2022 14:00:00","EM RECEBIMENTO DE PROPOSTA E-LIC","30/03/2022","09/03/2022",NA,"docsb.asp?orgao=CIASC&anexo=26991-02-1.pdf","https://sistemas4.sc.gov.br/sea/portaldecompras/docsb.asp?orgao=CIASC&anexo=26991-02-1.pdf"
"28","2","","0003/2022","4422","Companhia Integrada de Desenv. Agricola de Santa Catarina - CIDASC","00032022_4422","https://sistemas4.sc.gov.br/sea/portaldecompras/docsl.asp?portal=2&processo=&cdo=4422&edital=0003/2022","Pregão Eletrônico(Serviços)","CIDASC","Contratação de serviços de auditoria externa independente, com no mínimo 300 horas de auditoria para o exercício de 2021.","22/02/2022 09:59:00","22/02/2022 10:00:00","HOMOLOGADO","22/02/2022","22/02/2022",NA,"docsb.asp?orgao=CIDASC&anexo=Edital(35).pdf","https://sistemas4.sc.gov.br/sea/portaldecompras/docsb.asp?orgao=CIDASC&anexo=Edital(35).pdf"
"29","1","26756","0003/2022","5501","Defesa Cívil - DC","00032022_5501","https://sistemas4.sc.gov.br/sea/portaldecompras/docsl.asp?portal=1&processo=26756&cdo=5501&edital=0003/2022","Pregão Eletrônico             (Serviços)","DC","Contratação de empresa especializada para prestação de serviços continuados em Tecnologia da Informação  TI, para atender a Defesa Civil do Estado de Santa Catarina","07/02/2022 08:00:00","17/02/2022 13:45:00","HOMOLOGADO","17/02/2022","07/02/2022",NA,"docsb.asp?orgao=DC&anexo=26756-02-1.pdf","https://sistemas4.sc.gov.br/sea/portaldecompras/docsb.asp?orgao=DC&anexo=26756-02-1.pdf"
"30","1","26999","0003/2022","1501","Defensoria Pública do Estado de Santa Catarina - DPE","00032022_1501","https://sistemas4.sc.gov.br/sea/portaldecompras/docsl.asp?portal=1&processo=26999&cdo=1501&edital=0003/2022","Pregão Eletrônico","DPE","Registro de preços para futura e eventual contratação de empresa para prestação de serviços de instalações e desinstalações de equipamento de ar condicionado, com fornecimento de materiais e insumos para atender a demanda dos Núcleos Regionais da Defensoria Pública do Estado de Santa Catarina.","11/03/2022 09:00:00","23/03/2022 09:20:00","EM SESSÃO PREGÃO","23/03/2022","11/03/2022",NA,"docsb.asp?orgao=DPE&anexo=26999-02-1.pdf","https://sistemas4.sc.gov.br/sea/portaldecompras/docsb.asp?orgao=DPE&anexo=26999-02-1.pdf"
"31","2","","0003/2022","9","Empresa de Pesquisa Agropecuária e Extensão Rural de Santa Catarina - EPAGRI","00032022_9","https://sistemas4.sc.gov.br/sea/portaldecompras/docsl.asp?portal=2&processo=&cdo=9&edital=0003/2022","Procedimento de Licitação(Obras)","EPAGRI","Contratação de empresa de Engenharia para construção de galpão de trabalho e armazenamento de cebola para a Epagri  Estação Experimental de Ituporanga/SC, conforme quantitativos e especificações constantes nos ANEXOS I e II deste Edital.LICITACOES-E 92.57.29","31/03/2022 09:00:00","01/04/2022 09:00:00","AGUARDANDO ABERTURA DA HABILITAÇÃO","01/04/2022","31/03/2022",NA,"docsb.asp?orgao=EPAGRI&anexo=0003_2022PLE_Obra.doc","https://sistemas4.sc.gov.br/sea/portaldecompras/docsb.asp?orgao=EPAGRI&anexo=0003_2022PLE_Obra.doc"
"32","1","26950","0003/2022","4521","Fundação Catarinense de Educação Especial - FCEE","00032022_4521","https://sistemas4.sc.gov.br/sea/portaldecompras/docsl.asp?portal=1&processo=26950&cdo=4521&edital=0003/2022","Pregão Eletrônico             (Compras)","FCEE","AQUISIÇÃO DE GENÊROS ALIMENTÍCIOS E  HORTIFRÚTIS PARA O CAMPUS DA FCEE.","14/03/2022 13:45:00","26/02/2022 13:30:00","PUBLICADO RESULTADO LICITAÇÃO / EXTRATO ATA RP","26/02/2022","14/03/2022",NA,"docsb.asp?orgao=FCEE&anexo=26950-02-1.pdf","https://sistemas4.sc.gov.br/sea/portaldecompras/docsb.asp?orgao=FCEE&anexo=26950-02-1.pdf"
"33","1","26928","0003/2022","1605","Polícia Civil - PC","00032022_1605","https://sistemas4.sc.gov.br/sea/portaldecompras/docsl.asp?portal=1&processo=26928&cdo=1605&edital=0003/2022","Pregão Eletrônico             (Serviços)","PC","Contratação de empresa especializada na prestação de serviço continuado de apoio à melhoria das áreas estratégica e finalística, no âmbito da Polícia Civil do Estado de Santa Catarina, conforme especificações contidas no Anexo I do Edital.","25/02/2022 14:00:00","11/03/2022 14:00:00","PUBLICADO RESULTADO LICITAÇÃO / EXTRATO ATA RP","11/03/2022","25/02/2022",NA,"docsb.asp?orgao=PC&anexo=26928-02-1.pdf","https://sistemas4.sc.gov.br/sea/portaldecompras/docsb.asp?orgao=PC&anexo=26928-02-1.pdf"
"34","1","26949","0003/2022","201","Procuradoria Geral do Estado de Santa Catarina - PGE","00032022_201","https://sistemas4.sc.gov.br/sea/portaldecompras/docsl.asp?portal=1&processo=26949&cdo=201&edital=0003/2022","Pregão Eletrônico             (Compras)","PGE","Aquisição de licenças de softwares para uso governamental na área de tecnologia da informação e comunicação.","26/02/2022 08:00:00","14/03/2022 13:45:00","EM SESSÃO PREGÃO","14/03/2022","26/02/2022",NA,"docsb.asp?orgao=PGE&anexo=26949-02-1.pdf","https://sistemas4.sc.gov.br/sea/portaldecompras/docsb.asp?orgao=PGE&anexo=26949-02-1.pdf"
"35","2","","0003/2022","4130","PSFS Porto de São Francisco do Sul S/A","00032022_4130","https://sistemas4.sc.gov.br/sea/portaldecompras/docsl.asp?portal=2&processo=&cdo=4130&edital=0003/2022","Pregão Eletrônico(Compras)","PSFS","CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA O FORNECIMENTO DE 01 (UM) EQUIPAMENTO DE INSPEÇÃO (SCANNER) DE RAIO-X, CAPAZ DE IDENTIFICAR SEPARADAMENTE OS OBJETOS CONTIDOS NO INTERIOR DOS VOLUMES DE BAGAGEM DE MÃO, PARA USO NA SCPAR PORTO DE SÃO FRANCISCO DO SUL S/A, COM INSTALAÇÃO, TREINAMENTO E ASSISTÊNCIA TÉCNICA DURANTE O PERÍODO DE GARANTIA","14/03/2022 08:00:00","14/03/2022 10:00:00","HOMOLOGADO","14/03/2022","14/03/2022",NA,"docsb.asp?orgao=PSFS&anexo=EDITAL00032022.pdf","https://sistemas4.sc.gov.br/sea/portaldecompras/docsb.asp?orgao=PSFS&anexo=EDITAL00032022.pdf"
"36","1","26630","0003/2022","1700","Secretaria de Estado da Administração - SEA","00032022_1700","https://sistemas4.sc.gov.br/sea/portaldecompras/docsl.asp?portal=1&processo=26630&cdo=1700&edital=0003/2022","Pregão Eletrônico             (Serviços)","SEA-DGLC","Contratação de empresa especializada na prestação de serviços continuados de vigilância orgânica desarmada e vigilância eletrônica para atender às necessidades da Secretaria de Estado do Desenvolvimento Social - SDS.","20/01/2022 14:00:00","01/02/2022 13:30:00","SESSÃO PREGÃO SUSPENSA - PE","01/02/2022","20/01/2022",NA,"docsb.asp?orgao=SEA-DGLC&anexo=26630-02-1.pdf","https://sistemas4.sc.gov.br/sea/portaldecompras/docsb.asp?orgao=SEA-DGLC&anexo=26630-02-1.pdf"
"37","2","","0003/2022","4501","Secretaria de Estado da Educação - SED","00032022_4501","https://sistemas4.sc.gov.br/sea/portaldecompras/docsl.asp?portal=2&processo=&cdo=4501&edital=0003/2022","Convite(Serviços)","SED","Contratação de empresa especializada em serviços de engenharia para execução da subestação de energia da E.E.B. Dr. OTTO FEUERSCHUETTE, localizada em Capivari de Baixo","29/03/2022 13:30:00","29/03/2022 14:00:00","AGUARDANDO ABERTURA DA HABILITAÇÃO","29/03/2022","29/03/2022",NA,"docsb.asp?orgao=SED&anexo=Edital_CV_003-22__ADR19-7259-2020.pdf","https://sistemas4.sc.gov.br/sea/portaldecompras/docsb.asp?orgao=SED&anexo=Edital_CV_003-22__ADR19-7259-2020.pdf"
